NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
CNV,NCS2,FP16,,64,348.38,242.09799999999998,183.706,264.356,86.24078169999999,124.10192419999998,87.02,,0.53,1.2,1.903671053,30.0448,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.016626320665107767,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,NCS2,FP16,,128,694.75,481.675,184.24,265.73900000000003,86.491468,124.75117355,87.02,,0.53,1.2,1.9110200000000002,60.0896,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.03307950915069841,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,TX2-maxn,FP16,maxn,1,0.72,0.414922,1412.41,2547.18,11.325658169160002,20.42501113368,77.81,,1.8,5.7,8.3,0.008018676,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,2.8495180559144832e-05,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,2,0.93,0.43852700000000006,2164.9,5106.67,17.359631672400003,40.94873216892,77.81,,1.8,5.7,8.4,0.016037352,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,3.0116277384809933e-05,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,4,1.29,0.46173400000000003,3121.95,10037.5,25.0339055382,80.48746035,77.81,,1.8,5.7,8.8,0.032074704,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,3.171004116507725e-05,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,8,2.16,0.571328,3792.59,15138.5,30.411550410840004,121.390726626,77.81,,1.8,5.7,8.9,0.064149408,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,3.923651799252654e-05,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,16,3.79,0.812359,4284.52,21645.8,34.35617769552,173.5706569608,77.81,,1.8,5.7,8.8,0.128298816,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,5.5789561372610605e-05,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,32,7.01,1.25978,4633.48,27253.6,37.15437487248,218.5377882336,77.81,,1.8,5.7,8.8,0.256597632,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,8.651664304326952e-05,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,64,13.41,2.1211900000000004,4899.52,31458.3,39.28766343552001,252.25391521080002,77.81,,1.8,5.7,8.8,0.513195264,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,0.00014567483057117346,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxn,FP16,maxn,128,26.09,3.7996199999999996,5044.33,34197.2,40.44884790708,274.2162669072,77.81,,1.8,5.7,8.9,1.026390528,12.5,l3,1.33,59.7,0.01,TX2-maxn_FP16_12.50%_CNV,0.00026094267827721327,FP16_TX2-maxn,TX2-maxn_FP16_CNV_12.5
CNV,TX2-maxq,FP16,maxq,1,1.01,0.605036,965.127,1752.16,7.739040711852001,14.050003340160002,77.81,,1.8,4.15,4.0,0.008018676,12.5,l3,0.87,59.7,0.01,TX2-maxq_FP16_12.50%_CNV,4.155144838013591e-05,FP16_TX2-maxq,TX2-maxq_FP16_CNV_12.5
CNV,TX2-maxq,FP16,maxq,2,1.29,0.59849,1542.17,3480.84,12.36616156692,27.911728167840003,77.81,,1.8,4.15,4.7,0.016037352,12.5,l3,0.87,59.7,0.01,TX2-maxq_FP16_12.50%_CNV,4.1101895326935155e-05,FP16_TX2-maxq,TX2-maxq_FP16_CNV_12.5
CNV,TX2-maxq,FP16,maxq,4,1.89,0.625449,2085.54,6655.79,16.72326954504,53.37062353404001,77.81,,1.8,4.15,4.7,0.032074704,12.5,l3,0.87,59.7,0.01,TX2-maxq_FP16_12.50%_CNV,4.2953331434671036e-05,FP16_TX2-maxq,TX2-maxq_FP16_CNV_12.5
CNV,TX2-maxq,FP16,maxq,8,3.15,0.769945,2560.0,10629.4,20.527810560000002,85.2337146744,77.81,,1.8,4.15,4.9,0.064149408,12.5,l3,0.87,59.7,0.01,TX2-maxq_FP16_12.50%_CNV,5.287673778592306e-05,FP16_TX2-maxq,TX2-maxq_FP16_CNV_12.5
CNV,TX2-maxq,FP16,maxq,16,5.74,1.13608,2797.81,14520.1,22.434731899560003,116.43197738760001,77.81,,1.8,4.15,4.9,0.128298816,12.5,l3,0.87,59.7,0.01,TX2-maxq_FP16_12.50%_CNV,7.802142265204848e-05,FP16_TX2-maxq,TX2-maxq_FP16_CNV_12.5
CNV,TX2-maxq,FP16,maxq,32,10.83,1.76872,2942.53,18826.0,23.595194690280003,150.959594376,77.81,,1.8,4.15,4.8,0.256597632,12.5,l3,0.87,59.7,0.01,TX2-maxq_FP16_12.50%_CNV,0.00012146860315570311,FP16_TX2-maxq,TX2-maxq_FP16_CNV_12.5
