NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1 [%],top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level
CNV,Ultra96-DPU,INT8,,4,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,5,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,6,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,7,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,8,,,,,,,,,,,,100%,l3
CNV,ZCU104-FINN,INT4,,1,4.874,,205.17,,96.31700069376,87.42,,9.2,11.8,15.025,0.469449728,100%,l3
CNV,ZCU104-FINN,INT4,,2,6.872,,291.078,,136.646487926784,87.42,,9.2,11.8,15.4,0.938899456,100%,l3
CNV,ZCU104-FINN,INT4,,4,9.884,,404.694,,189.983488223232,87.42,,9.2,11.8,15.875,1.877798912,100%,l3
CNV,ZCU104-FINN,INT4,,8,15.704,,509.359,,239.118444004352,87.42,,9.2,11.8,16.7,3.755597824,100%,l3
CNV,ZCU104-FINN,INT4,,16,27.344,,584.988,,274.622457483264,87.42,,9.2,11.8,17.575,7.511195648,100%,l3
CNV,ZCU104-FINN,INT4,,32,50.656,,631.874,,296.633077430272,87.42,,9.2,11.8,19.25,15.022391296,100%,l3
CNV,ZCU104-FINN,INT4,,64,97.216,,658.267,,309.023264101376,87.42,,9.2,11.8,19.3,30.044782592,100%,l3
CNV,ZCU104-FINN,INT4,,128,190.336,,672.301,,315.611521584128,87.42,,9.2,11.8,19.275,60.089565184,100%,l3
CNV,ZCU104-FINN,INT4,,256,376.832,,679.548,,319.013623762944,87.42,,9.2,11.8,19.35,120.179130368,100%,l3
CNV,ZCU104-FINN,INT4,,512,749.568,,683.229,,320.741668211712,87.42,,9.2,11.8,19.375,240.358260736,100%,l3
CNV,ZCU104-FINN,INT4,,10000,14561.129,,686.76,,322.39929520128,87.42,,9.2,11.8,19.7625,4694.49728,100%,l3
CNV,ZCU104-FINN,INT2,,1,1.299,,769.823,,361.393197958144,86.86,,9.2,11.6,14.3,0.469449728,100%,l3
CNV,ZCU104-FINN,INT2,,2,1.784,,1121.076,,526.288823267328,86.86,,9.2,11.6,14.425,0.938899456,100%,l3
CNV,ZCU104-FINN,INT2,,4,2.6,,1539.053,,722.508012227584,86.86,,9.2,11.6,14.475,1.877798912,100%,l3
CNV,ZCU104-FINN,INT2,,8,3.928,,2034.588,,955.136783192064,86.86,,9.2,11.6,14.35,3.755597824,100%,l3
CNV,ZCU104-FINN,INT2,,16,6.592,,2425.345,,1138.57755055616,86.86,,9.2,11.6,14.825,7.511195648,100%,l3
CNV,ZCU104-FINN,INT2,,32,11.936,,2682.763,,1259.42236063846,86.86,,9.2,11.6,14.95,15.022391296,100%,l3
CNV,ZCU104-FINN,INT2,,64,22.592,,2832.987,,1329.94497657754,86.86,,9.2,11.6,15.925,30.044782592,100%,l3
CNV,ZCU104-FINN,INT2,,128,43.904,,2914.655,,1368.28399696384,86.86,,9.2,11.6,17.175,60.089565184,100%,l3
CNV,ZCU104-FINN,INT2,,256,86.528,,2957.315,,1388.31072236032,86.86,,9.2,11.6,17.175,120.179130368,100%,l3
CNV,ZCU104-FINN,INT2,,512,172.032,,2979.082,,1398.5292345897,86.86,,9.2,11.6,17.175,240.358260736,100%,l3
CNV,ZCU104-Bismo,INT4,,2,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT4,,4,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT4,,8,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT4,,16,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT4,,32,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT4,,64,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT4,,128,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT2,,2,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT2,,4,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT2,,8,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT2,,16,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT2,,32,,,,,,,,,,,,100%,l3
