NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,TX2-maxq,FP16,maxq,16,2.93,0.253531,5535.14,69726.3,3.70300866,46.646894700000004,97.15,,1.8,4.15,5.678,0.010704,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0005824763821496839,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,32,5.41,0.324219,5919.08,109542.0,3.95986452,73.283598,97.15,,1.8,4.15,5.655,0.021408,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.000744878970004411,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,64,10.67,0.430437,6168.67,170383.0,4.12684023,113.986227,97.15,,1.8,4.15,5.757000000000001,0.042816,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0009889101786501985,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,128,21.02,0.800375,6168.67,227505.0,4.12684023,152.200845,97.15,,1.8,4.15,6.046,0.085632,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0018388265512424642,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,1,0.57,0.27808,1759.45,3864.97,1.17707205,2.5856649299999996,97.15,,1.8,4.7,6.6610000000000005,0.000669,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0006388766357888545,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,2,0.75,0.285041,2716.18,7639.51,1.8171244199999999,5.11083219,97.15,,1.8,4.7,6.51,0.001338,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0006548692287898838,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,4,1.1,0.290605,3849.62,15091.2,2.57539578,10.0960128,97.15,,1.8,4.7,6.643,0.002676,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0006676522754006764,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,8,1.64,0.306844,4785.05,29828.1,3.20119845,19.9549989,97.15,,1.8,4.7,7.353,0.005352,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0007049606675488899,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,16,3.12,0.34270300000000004,5657.46,71794.2,3.78484074,48.0303198,97.15,,1.8,4.7,7.652,0.010704,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0007873451514483165,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,32,5.61,0.31725,6023.53,121789.0,4.02974157,81.476841,97.15,,1.8,4.7,7.542999999999999,0.021408,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0007288679973533304,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,64,9.11,0.463625,6206.06,192120.0,4.15185414,128.52828,97.15,,1.8,4.7,7.886,0.042816,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0010651581568886929,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxp,FP16,maxp,128,21.57,0.66525,6360.25,278034.0,4.25500725,186.004746,97.15,,1.8,4.7,8.382,0.085632,12.5,l3,1.15,59.7,0.0007,TX2-maxp_FP16_12.50%_MLP,0.0015283827745919717,FP16_TX2-maxp,TX2-maxp_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,1,0.44,0.205719,2327.27,5310.18,4.333376739999999,9.88755516,97.44,,1.8,5.7,10.366,0.001862,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.00047263040361711513,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,2,0.56,0.21093,3631.21,10447.2,6.76131302,19.4526864,97.44,,1.8,5.7,10.331,0.003724,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.00048460244816938685,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,4,0.79,0.216309,5224.49,20955.7,9.72800038,39.0195134,97.44,,1.8,5.7,10.526,0.007448,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.0004969604653727393,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,8,1.3,0.225516,6606.45,33517.7,12.3012099,62.40995739999999,97.44,,1.8,5.7,11.468,0.014896,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.0005181131451257167,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,16,2.23,0.25193699999999997,7641.79,65489.9,14.22901298,121.9421938,97.44,,1.8,5.7,11.606,0.029792,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.0005788142368769297,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,32,4.31,0.40675,8325.2,124711.0,15.5015224,232.211882,97.44,,1.8,5.7,11.583,0.059584,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.0009344903323040729,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,64,7.93,0.609187,8393.44,168504.0,15.628585280000001,313.75444799999997,97.44,,1.8,5.7,11.542,0.119168,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.0013995804844875754,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,128,15.16,0.72675,8827.59,252155.0,16.43697258,469.51261,97.44,,1.8,5.7,11.169,0.238336,25.0,l3,1.33,59.7,0.0019,TX2-maxn_FP16_25%_MLP,0.0016696763343625937,FP16_TX2-maxn,TX2-maxn_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,1,0.59,0.29236799999999996,1698.18,3586.1,3.16201116,6.677318199999999,97.44,,1.8,4.15,5.779,0.001862,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0006717026907807675,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,2,0.74,0.292953,2673.63,7241.25,4.97829906,13.483207499999999,97.44,,1.8,4.15,5.672999999999999,0.003724,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0006730467026907808,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,4,1.07,0.299227,3710.15,14373.7,6.9082993,26.7638294,97.44,,1.8,4.15,5.705,0.007448,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0006874609432436407,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,8,1.73,0.337016,4591.93,24042.1,8.55017366,44.7663902,97.44,,1.8,4.15,6.204,0.014896,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0007742795177179826,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,16,2.94,0.327828,5446.81,49404.2,10.14196022,91.9906204,97.44,,1.8,4.15,6.399,0.029792,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0007531704896338773,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,32,5.56,0.394719,5851.43,91103.2,10.89536266,169.6341584,97.44,,1.8,4.15,6.465,0.059584,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0009068496360829289,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,64,10.67,0.538438,6023.53,125229.0,11.21581286,233.176398,97.44,,1.8,4.15,6.388,0.119168,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0012370377518012056,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxq,FP16,maxq,128,21.05,0.9465,6168.67,180187.0,11.48606354,335.508194,97.44,,1.8,4.15,6.197,0.238336,25.0,l3,0.87,59.7,0.0019,TX2-maxq_FP16_25%_MLP,0.0021745423467137187,FP16_TX2-maxq,TX2-maxq_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,1,0.59,0.27819099999999997,1750.43,3848.74,3.25930066,7.166353879999999,97.44,,1.8,4.7,7.334,0.001862,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0006391316534333186,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,2,0.73,0.25973,2820.94,8504.14,5.25259028,15.834708679999999,97.44,,1.8,4.7,7.364,0.003724,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0005967183134833113,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,4,1.09,0.287484,3792.59,15125.3,7.06180258,28.163308599999997,97.44,,1.8,4.7,7.284,0.007448,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0006604819144243494,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
