NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
GoogLeNetv1,TX2-maxp,FP16,maxp,4,30.77,18.9408,120.117,212.503,375.96621,665.1343899999999,66.928,87.83200000000001,1.8,4.7,8.47,12.52,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.015769282003463433,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,8,59.85,35.7512,126.529,224.57,396.03576999999996,702.9041,66.928,87.83200000000001,1.8,4.7,8.61,25.04,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.029764886106300785,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,16,112.43,68.7958,135.845,232.794,425.19485,728.64522,66.928,87.83200000000001,1.8,4.7,8.69,50.08,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.05727637538297589,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,32,234.31,135.189,135.468,236.7,424.01483999999994,740.871,66.928,87.83200000000001,1.8,4.7,8.35,100.16,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.1125524510456907,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,64,507.56,267.32099999999997,124.802,239.278,390.63026,748.9401399999999,66.928,87.83200000000001,1.8,4.7,8.07,200.32,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.22255977754096176,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,128,"1,090.82",532.179,115.89,240.699,362.7357,753.38787,66.928,87.83200000000001,1.8,4.7,7.74,400.64,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.44306896896230186,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,1,12.26,8.78507,81.1218,114.87299999999999,253.91123399999998,359.55249,66.956,87.844,1.8,5.7,12.79,3.13,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.007314065205807913,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,2,21.52,15.7304,92.4438,129.041,289.349094,403.89833,66.956,87.844,1.8,5.7,13.06,6.26,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.013096443319568404,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,4,39.45,28.6794,101.10600000000001,139.985,316.46178000000003,438.15305,66.956,87.844,1.8,5.7,13.35,12.52,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.023877214599706945,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,8,74.8,54.3536,106.711,147.58100000000002,334.00543,461.92853,66.956,87.844,1.8,5.7,13.56,25.04,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.04525243106433995,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,16,145.19,105.581,110.096,151.638,344.60048,474.62694,66.956,87.844,1.8,5.7,13.7,50.08,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.08790212468362862,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,32,284.2,207.731,111.913,154.109,350.28769,482.36117,66.956,87.844,1.8,5.7,13.77,100.16,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.1729477487678167,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
