NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun
MLP,GPU,FP16,maxp,128,2.305,5885.06,61409.3,49.6087,517.656,97.3,,1.8,4.7,12.142000000000001,,100%,l3,GPU_FP16_100%
MLP,GPU,FP32,maxp,1,0.819372,877.4639999999999,1231.27,7.396669999999999,10.3791,97.31,,1.8,4.7,10.895,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,2,0.894066,1376.34,1991.41,11.602,16.7868,97.31,,1.8,4.7,10.915,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,4,0.9586049999999999,2115.7,4023.29,17.8345,33.9147,97.31,,1.8,4.7,11.193,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,8,1.2049,3002.93,6766.27,25.3135,57.0369,97.31,,1.8,4.7,11.915,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,16,1.25261,4129.03,13126.4,34.8061,110.65,97.31,,1.8,4.7,12.020999999999999,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,32,1.5198399999999999,4697.25,24259.7,39.5959,204.49900000000002,97.31,,1.8,4.7,12.270999999999999,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,64,2.76887,4899.52,25678.3,41.301,216.458,97.31,,1.8,4.7,12.95,,100%,l3,GPU_FP32_100%
MLP,GPU,FP32,maxp,128,3.4425,5475.94,39802.5,46.16,335.52,97.31,,1.8,4.7,12.366,,100%,l3,GPU_FP32_100%
MLP,ZCU104-FINN,INT2,,1,0.023,,43478.261,,,98.75,,9.2,13.71,13.9525,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,2,0.036000000000000004,,55555.556,,,98.75,,9.2,13.71,13.905,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,4,0.061,,65573.77,,,98.75,,9.2,13.71,13.94,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,8,0.111,,72072.072,,,98.75,,9.2,13.71,13.9325,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,16,0.21,,76190.476,,,98.75,,9.2,13.71,13.9875,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,32,0.408,,78431.37299999999,,,98.75,,9.2,13.71,13.9,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,64,0.8059999999999999,,79404.467,,,98.75,,9.2,13.71,14.2775,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,128,1.6,,80000.0,,,98.75,,9.2,13.71,14.365,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,256,3.19,,80250.784,,,98.75,,9.2,13.71,14.515,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-FINN,INT2,,512,6.369,,80389.386,,,98.75,,9.2,13.71,14.95,,100%,l3,ZCU104-FINN_INT2_100%
MLP,ZCU104-Bismo,INT4,,2,3.2593644,,613.616568923683,,,98.77,,9.2,14.3,15.225,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT4,,4,5.6311403,,710.335702344337,,,98.77,,9.2,14.3,15.325,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT4,,8,10.265632,,779.29931639864,,,98.77,,9.2,14.3,15.3,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT4,,16,19.714788000000002,,811.5735254165551,,,98.77,,9.2,14.3,15.475,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT4,,32,38.386224,,833.632398956459,,,98.77,,9.2,14.3,15.175,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT4,,64,76.34016700000001,,838.352894879048,,,98.77,,9.2,14.3,15.3,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT4,,128,154.56762,,828.116522723194,,,98.77,,9.2,14.3,15.3,,100%,l3,ZCU104-Bismo_INT4_100%
MLP,ZCU104-Bismo,INT2,,2,2.1472937,,931.4049587161741,,,98.75,,9.2,14.3,15.175,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,ZCU104-Bismo,INT2,,4,3.3656449,,1188.47950952877,,,98.75,,9.2,14.3,15.425,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,ZCU104-Bismo,INT2,,8,5.7826969,,1383.43754451318,,,98.75,,9.2,14.3,15.55,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,ZCU104-Bismo,INT2,,16,10.675147,,1498.8084004838502,,,98.75,,9.2,14.3,15.35,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,ZCU104-Bismo,INT2,,32,20.320172,,1574.7898196924698,,,98.75,,9.2,14.3,15.175,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,ZCU104-Bismo,INT2,,64,39.836965,,1606.5480891930401,,,98.75,,9.2,14.3,15.4,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,ZCU104-Bismo,INT2,,128,79.756498,,1604.8849085625598,,,98.75,,9.2,14.3,15.225,,100%,l3,ZCU104-Bismo_INT2_100%
MLP,U96-Quadcore A53,INT4,,2,101.382,,19.7273677773175,,,98.77,,9.2,14.3,15.3142857142857,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT4,,4,102.87299999999999,,38.8828944426623,,,98.77,,9.2,14.3,15.320663265306099,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT4,,8,100.44,,79.6495420151334,,,98.77,,9.2,14.3,15.320353498542302,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT4,,16,124.383,,128.634942074078,,,98.77,,9.2,14.3,15.3218073198667,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT4,,32,170.25,,187.958883994126,,,98.77,,9.2,14.3,15.310864985571499,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT4,,64,253.227,,252.73766225560502,,,98.77,,9.2,14.3,15.320569627398,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT4,,128,434.834,,294.365206032647,,,98.77,,9.2,14.3,15.3220388864979,,100%,l3,U96-Quadcore A53_INT4_100%
MLP,U96-Quadcore A53,INT2,,2,100.792,,19.8428446702119,,,98.75,,9.2,14.3,15.3236130926763,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,U96-Quadcore A53,INT2,,4,101.204,,39.524129481048206,,,98.75,,9.2,14.3,15.3342283135818,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,U96-Quadcore A53,INT2,,8,100.62700000000001,,79.5015254355193,,,98.75,,9.2,14.3,15.327744621694698,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,U96-Quadcore A53,INT2,,16,125.09200000000001,,127.905861286093,,,98.75,,9.2,14.3,15.3118692375301,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,U96-Quadcore A53,INT2,,32,170.55900000000003,,187.618360801834,,,98.75,,9.2,14.3,15.3091456116394,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,U96-Quadcore A53,INT2,,64,253.59900000000002,,252.366925737089,,,98.75,,9.2,14.3,15.3187274410422,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,U96-Quadcore A53,INT2,,128,435.264,,294.074400823408,,,98.75,,9.2,14.3,15.3129222582595,,100%,l3,U96-Quadcore A53_INT2_100%
MLP,NCS,FP16,na,1,1.9366299999999999,283.339,516.36,0.5999979999999999,1.09344,98.75,,0.53,1.2,1.8090000000000002,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,2,2.7621700000000002,337.009,724.068,0.713651,1.53329,98.75,,0.53,1.2,1.838,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,4,4.33873,375.48800000000006,921.928,0.795134,1.95228,98.75,,0.53,1.2,1.864,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,8,7.23535,399.44599999999997,1105.68,0.845867,2.34139,98.75,,0.53,1.2,1.933,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,16,13.3314,412.00699999999995,1200.17,0.872466,2.54149,98.75,,0.53,1.2,1.926,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,32,24.5905,422.289,1301.31,0.8942389999999999,2.7556599999999998,98.75,,0.53,1.2,1.956,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,64,47.9514,427.18800000000005,1334.68,0.9046139999999999,2.82633,98.75,,0.53,1.2,1.985,,50%,l3,NCS_FP16_50%
MLP,NCS,FP16,na,128,93.3654,429.76800000000003,1370.96,0.910078,2.90314,98.75,,0.53,1.2,2.01,,50%,l3,NCS_FP16_50%
MLP,GPU,FP16,maxp,1,0.33556199999999997,1526.08,3009.65,3.23163,6.37323,97.46,,1.8,4.7,8.718,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,2,0.35685500000000003,2386.95,5676.31,5.0546,12.0201,97.46,,1.8,4.7,8.65,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,4,0.354211,3482.99,11532.1,7.375589999999999,24.4203,97.46,,1.8,4.7,8.868,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,8,0.50943,4179.59,15901.4,8.8507,33.6727,97.46,,1.8,4.7,8.795,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,16,0.527234,5044.33,30770.2,10.6819,65.1589,97.46,,1.8,4.7,9.686,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,32,0.628219,5505.38,62458.1,11.6582,132.261,97.46,,1.8,4.7,9.003,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,64,0.898875,5851.43,94587.1,12.390999999999998,200.298,97.46,,1.8,4.7,8.679,,50%,l3,GPU_FP16_50%
MLP,GPU,FP16,maxp,128,1.1268799999999999,6168.67,141671.0,13.0628,300.003,97.46,,1.8,4.7,9.883,,50%,l3,GPU_FP16_50%
MLP,GPU,FP32,maxp,1,0.334122,1560.98,2952.86,3.3055199999999996,6.2529699999999995,97.46,,1.8,4.7,9.321,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,2,0.37754899999999997,2398.13,5282.05,5.07827,11.1853,97.46,,1.8,4.7,9.532,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,4,0.38016,3482.99,10581.1,7.375589999999999,22.4066,97.46,,1.8,4.7,9.562999999999999,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,8,0.660625,4047.43,15793.7,8.570839999999999,33.4447,97.46,,1.8,4.7,10.24,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,16,0.749047,4807.51,30638.5,10.1804,64.8801,97.46,,1.8,4.7,10.356,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,32,0.7903439999999999,5446.81,57302.7,11.5342,121.344,97.46,,1.8,4.7,10.370999999999999,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,64,1.1980600000000001,5720.67,66823.3,12.1141,141.505,97.46,,1.8,4.7,11.478,,50%,l3,GPU_FP32_50%
MLP,GPU,FP32,maxp,128,1.45425,6095.24,103759.0,12.9073,219.72099999999998,97.46,,1.8,4.7,11.12,,50%,l3,GPU_FP32_50%
MLP,ZCU104-FINN,INT4,,1,0.013999999999999999,,71428.571,,,98.62,,9.2,14.2,14.475,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,2,0.018000000000000002,,105263.15800000001,,,98.62,,9.2,14.2,14.34,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,4,0.024,,153846.154,,,98.62,,9.2,14.2,14.41,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,8,0.04,,186046.512,,,98.62,,9.2,14.2,14.385,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,16,0.08,,213333.333,,,98.62,,9.2,14.2,14.4325,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,32,0.128,,226950.355,,,98.62,,9.2,14.2,14.5125,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,64,0.256,,235294.11800000002,,,98.62,,9.2,14.2,14.64,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,128,0.512,,239252.336,,,98.62,,9.2,14.2,14.5875,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,256,1.024,,241737.488,,,98.62,,9.2,14.2,14.98,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT4,,512,2.048,,242884.25,,,98.62,,9.2,14.2,15.1125,,50%,l3,ZCU104-FINN_INT4_50%
MLP,ZCU104-FINN,INT2,,1,0.008,,125000.0,,,98.49,,9.2,12.76,13.02,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,2,0.011000000000000001,,181818.182,,,98.49,,9.2,12.76,12.9975,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,4,0.015,,266666.667,,,98.49,,9.2,12.76,13.005,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,8,0.023,,347826.08700000006,,,98.49,,9.2,12.76,12.94,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,16,0.039,,410256.41,,,98.49,,9.2,12.76,12.9325,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,32,0.07200000000000001,,444444.44399999996,,,98.49,,9.2,12.76,13.02,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,64,0.138,,463768.11600000004,,,98.49,,9.2,12.76,13.0575,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,128,0.26899999999999996,,475836.43100000004,,,98.49,,9.2,12.76,13.0375,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,256,0.531,,482109.22799999994,,,98.49,,9.2,12.76,13.13,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-FINN,INT2,,512,1.056,,484848.485,,,98.49,,9.2,12.76,13.185,,50%,l3,ZCU104-FINN_INT2_50%
MLP,ZCU104-Bismo,INT4,,2,1.1901049,,1680.5241285873199,,,98.62,,9.2,14.3,15.275,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT4,,4,1.9075338,,2096.94842628739,,,98.62,,9.2,14.3,15.2,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT4,,8,3.340349,,2394.95932910004,,,98.62,,9.2,14.3,15.475,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT4,,16,6.27726,,2548.8827928108803,,,98.62,,9.2,14.3,15.375,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT4,,32,12.228749,,2616.78443150644,,,98.62,,9.2,14.3,15.35,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT4,,64,23.566854,,2715.6785542949397,,,98.62,,9.2,14.3,15.4,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT4,,128,46.917617,,2728.1863015336,,,98.62,,9.2,14.3,15.4,,50%,l3,ZCU104-Bismo_INT4_50%
MLP,ZCU104-Bismo,INT2,,2,0.8490053,,2355.69789729228,,,98.49,,9.2,14.3,15.35,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,ZCU104-Bismo,INT2,,4,1.2278494,,3257.7285129593297,,,98.49,,9.2,14.3,15.225,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,ZCU104-Bismo,INT2,,8,2.0011012999999997,,3997.79861219419,,,98.49,,9.2,14.3,15.375,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,ZCU104-Bismo,INT2,,16,3.5625733,,4491.13566308937,,,98.49,,9.2,14.3,15.4,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,ZCU104-Bismo,INT2,,32,6.6509979999999995,,4811.3080172329,,,98.49,,9.2,14.3,15.325,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,ZCU104-Bismo,INT2,,64,12.741983,,5022.76607965966,,,98.49,,9.2,14.3,15.4,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,ZCU104-Bismo,INT2,,128,25.079286,,5103.81356151846,,,98.49,,9.2,14.3,15.4,,50%,l3,ZCU104-Bismo_INT2_50%
MLP,U96-Quadcore A53,INT4,,2,26.779,,74.6853878038762,,,98.62,,9.2,14.3,15.353571428571401,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT4,,4,26.904,,148.676776687481,,,98.62,,9.2,14.3,15.359183673469401,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT4,,8,27.285,,293.20139270661497,,,98.62,,9.2,14.3,15.3705539358601,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT4,,16,33.679,,475.07348793016405,,,98.62,,9.2,14.3,15.3630935027072,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT4,,32,47.012,,680.677273887518,,,98.62,,9.2,14.3,15.362243038614901,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT4,,64,74.628,,857.5869646781371,,,98.62,,9.2,14.3,15.3631175413731,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT4,,128,129.957,,984.9411728494811,,,98.62,,9.2,14.3,15.3604830800426,,50%,l3,U96-Quadcore A53_INT4_50%
MLP,U96-Quadcore A53,INT2,,2,26.684,,74.9512816669165,,,98.49,,9.2,14.3,15.357660442902802,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,U96-Quadcore A53,INT2,,4,27.236,,146.864444118079,,,98.49,,9.2,14.3,15.358207617395802,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,U96-Quadcore A53,INT2,,8,26.752,,299.04306220095697,,,98.49,,9.2,14.3,15.367722447209802,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,U96-Quadcore A53,INT2,,16,33.614000000000004,,475.992146129589,,,98.49,,9.2,14.3,15.3672026220105,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,U96-Quadcore A53,INT2,,32,46.919,,682.026471152412,,,98.49,,9.2,14.3,15.3648599521541,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,U96-Quadcore A53,INT2,,64,74.5,,859.0604026845641,,,98.49,,9.2,14.3,15.367707091593699,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,U96-Quadcore A53,INT2,,128,129.915,,985.259592810684,,,98.49,,9.2,14.3,15.3654004552789,,50%,l3,U96-Quadcore A53_INT2_50%
MLP,NCS,FP16,na,1,1.66639,309.24,600.099,0.16528900000000002,0.320753,98.49,,0.53,1.2,1.62,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,2,2.1244099999999997,381.92199999999997,941.439,0.20413699999999999,0.503199,98.49,,0.53,1.2,1.71,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,4,3.07935,428.685,1298.98,0.22913200000000003,0.694303,98.49,,0.53,1.2,1.744,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,8,5.06905,457.574,1578.21,0.244573,0.843551,98.49,,0.53,1.2,1.7790000000000001,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,16,8.64809,476.212,1850.12,0.25453600000000004,0.9888879999999999,98.49,,0.53,1.2,1.8159999999999998,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,32,16.1099,484.102,1986.35,0.258753,1.06171,98.49,,0.53,1.2,1.835,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,64,30.1685,494.267,2121.42,0.26418600000000003,1.1339,98.49,,0.53,1.2,1.837,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,128,58.2507,498.496,2197.4,0.266446,1.17451,98.49,,0.53,1.2,1.8769999999999998,,25%,l3,NCS_FP16_25%
MLP,GPU,FP16,maxp,1,0.27819099999999997,1750.43,3848.74,0.9356030000000001,2.05715,97.44,,1.8,4.7,7.334,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,2,0.25973,2820.94,8504.14,1.50779,4.54546,97.44,,1.8,4.7,7.364,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,4,0.287484,3792.59,15125.3,2.02714,8.084489999999999,97.44,,1.8,4.7,7.284,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,8,0.307859,4697.25,29380.5,2.51068,15.7039,97.44,,1.8,4.7,8.149,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,16,0.363625,5171.72,56844.7,2.76428,30.3835,97.44,,1.8,4.7,8.354,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,32,0.5263439999999999,5919.08,115863.0,3.16375,61.9289,97.44,,1.8,4.7,8.161,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,64,0.661312,5988.3,145166.0,3.20075,77.5911,97.44,,1.8,4.7,8.74,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,128,0.800375,6243.9,220832.0,3.3373699999999995,118.035,97.44,,1.8,4.7,8.066,,25%,l3,GPU_FP16_25%
MLP,GPU,FP32,maxp,1,0.22253,1980.66,4836.44,1.05866,2.58508,97.44,,1.8,4.7,8.068,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,2,0.22756300000000002,2968.12,9610.87,1.58646,5.13701,97.44,,1.8,4.7,7.972,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,4,0.23529299999999997,4063.49,18903.8,2.17194,10.1041,97.44,,1.8,4.7,8.158,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,8,0.28231300000000004,4923.08,29516.0,2.63138,15.7763,97.44,,1.8,4.7,8.505,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,16,0.514938,5120.0,56496.6,2.73664,30.1974,97.44,,1.8,4.7,8.612,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,32,0.532937,5688.89,105938.0,3.04071,56.623999999999995,97.44,,1.8,4.7,8.547,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,64,0.692438,5953.49,134489.0,3.18214,71.8844,97.44,,1.8,4.7,8.318,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,128,0.872125,6168.67,193866.0,3.29716,103.62100000000001,97.44,,1.8,4.7,9.199,,25%,l3,GPU_FP32_25%
MLP,ZCU104-FINN,INT4,,1,0.005,,200000.0,,,98.29,,9.2,14.2,14.4225,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,2,0.008,,285714.286,,,98.29,,9.2,14.2,14.3275,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,4,0.012,,400000.0,,,98.29,,9.2,14.2,14.325,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,8,0.016,,470588.235,,,98.29,,9.2,14.2,14.32,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,16,0.032,,533333.333,,,98.29,,9.2,14.2,14.3525,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,32,0.064,,561403.509,,,98.29,,9.2,14.2,14.335,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,64,0.128,,576576.577,,,98.29,,9.2,14.2,14.415,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,128,0.256,,589861.751,,,98.29,,9.2,14.2,14.4675,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,256,0.512,,595348.837,,,98.29,,9.2,14.2,14.53,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,512,1.024,,598130.841,,,98.29,,9.2,14.2,14.595,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT2,,1,0.002,,500000.0,,,98.04,,9.2,13.86,14.13,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,2,0.003,,666666.667,,,98.04,,9.2,13.86,14.01,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,4,0.004,,1000000.0,,,98.04,,9.2,13.86,13.98,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,8,0.006999999999999999,,1142857.143,,,98.04,,9.2,13.86,14.0225,,25%,l3,ZCU104-FINN_INT2_25%
