NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun_net,norm-lat-comp,quant_model,hw_precision_net_prun
RN50,TX2,FP16,maxp,4,39.2077,74.5107,102.305,575.222,789.793,75.142,92.118,1.8,4.7,9.71,,100.0,l3,TX2_FP16_100%_RN50,0.005585858585858586,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP16,maxp,8,75.8376,77.4877,105.72,598.205,816.1619999999999,75.142,92.118,1.8,4.7,9.81,,100.0,l3,TX2_FP16_100%_RN50,0.01080446211052699,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP16,maxp,16,145.373,80.7253,110.25299999999999,623.1990000000001,851.155,75.142,92.118,1.8,4.7,9.79,,100.0,l3,TX2_FP16_100%_RN50,0.020711059822484362,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP16,maxp,32,283.944,83.0158,112.59100000000001,640.882,869.206,75.142,92.118,1.8,4.7,9.79,,100.0,l3,TX2_FP16_100%_RN50,0.040453049536265336,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP16,maxp,64,564.202,85.2552,113.39,658.17,875.373,75.142,92.118,1.8,4.7,9.81,,100.0,l3,TX2_FP16_100%_RN50,0.08038096052200425,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP16,maxp,128,1122.97,85.971,114.03299999999999,663.696,880.337,75.142,92.118,1.8,4.7,9.86,,100.0,l3,TX2_FP16_100%_RN50,0.15998774771694377,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP32,maxp,1,22.1117,37.4611,45.8165,289.2,353.70300000000003,75.148,92.11399999999999,1.8,4.7,10.54,,100.0,l3,TX2_FP32_100%_RN50,0.0031502186890057125,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,2,37.93,43.6618,53.0236,337.069,409.342,75.148,92.11399999999999,1.8,4.7,10.83,,100.0,l3,TX2_FP32_100%_RN50,0.005403826701428958,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,4,72.2074,46.1865,55.4962,356.559,428.43,75.148,92.11399999999999,1.8,4.7,10.86,,100.0,l3,TX2_FP32_100%_RN50,0.010287273297146357,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,8,140.401,47.6634,57.0089,367.961,440.108,75.148,92.11399999999999,1.8,4.7,11.01,,100.0,l3,TX2_FP32_100%_RN50,0.020002706899744982,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,16,270.671,49.3899,59.1311,381.29,456.49199999999996,75.148,92.11399999999999,1.8,4.7,11.13,,100.0,l3,TX2_FP32_100%_RN50,0.03856206636178427,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,32,529.398,50.6655,60.4808,391.13699999999994,466.912,75.148,92.11399999999999,1.8,4.7,11.15,,100.0,l3,TX2_FP32_100%_RN50,0.07542249006282857,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,64,1046.48,51.6155,61.1055,398.472,471.73400000000004,75.148,92.11399999999999,1.8,4.7,11.24,,100.0,l3,TX2_FP32_100%_RN50,0.14909033921727857,FP32_TX2,TX2_FP32_RN50_100.0
RN50,TX2,FP32,maxp,128,2080.78,49.8588,61.5141,384.91,474.889,75.148,92.11399999999999,1.8,4.7,10.88,,100.0,l3,TX2_FP32_100%_RN50,0.2964454132296164,FP32_TX2,TX2_FP32_RN50_100.0
RN50,ZCU102-DPU,INT8,,1,14.8168,43.7478,67.6427,522.201644,337.733016,72.53,90.85,20.0,29.0,31.8,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.0021109259021811913,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU102-DPU,INT8,,2,15.5674,107.37299999999999,127.65700000000001,985.5120400000001,828.9195599999999,72.53,90.85,20.0,29.0,34.4,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.0022178626889487255,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU102-DPU,INT8,,3,17.6107,120.665,169.74400000000003,1310.42368,931.5338,72.53,90.85,20.0,29.0,37.5,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.002508968386260347,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU102-DPU,INT8,,4,21.5229,161.764,183.805,1418.9746,1248.81808,72.53,90.85,20.0,29.0,39.7,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.0030663332905928107,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU102-DPU,INT8,,5,27.0473,165.987,193.019,1490.10668,1281.41964,72.53,90.85,20.0,29.0,40.1,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.0038533857617073413,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU102-DPU,INT8,,6,32.481,167.636,193.787,1496.03564,1294.1499199999998,72.53,90.85,20.0,29.0,40.3,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.004627516348249775,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU102-DPU,INT8,,7,38.551,168.132,190.78599999999997,1472.86792,1297.97904,72.53,90.85,20.0,29.0,40.5,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.005492299582567565,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
