NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,ZCU104-FINN,INT2,,512,,6.369,,80389.386,,1610.1190121939999,98.75,,9.2,13.71,14.95,10.254847999999999,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.014632498897220996,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-Bismo,INT4,,2,,3.2593644,,613.6165689,,12.290126258498098,98.77,,9.2,14.3,15.225,0.040057999999999996,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.0074882471327745925,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT4,,4,,5.6311403,,710.3357022999999,,14.227313781366696,98.77,,9.2,14.3,15.325,0.08011599999999999,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.012937298513086313,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT4,,8,,10.265632,,779.2993164,,15.6085860081756,98.77,,9.2,14.3,15.3,0.16023199999999999,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.023584840464637557,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT4,,16,,19.714788,,811.5735254,,16.255006140236606,98.77,,9.2,14.3,15.475,0.32046399999999997,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.045293863034847816,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT4,,32,,38.386224,,833.6323990000002,,16.696823319571006,98.77,,9.2,14.3,15.175,0.6409279999999999,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.08819067048963387,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT4,,64,,76.34016700000002,,838.3528949,,16.791370131952103,98.77,,9.2,14.3,15.3,1.2818559999999999,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.17538819429128072,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT4,,128,,154.56762,,828.1165227000001,,16.586345833158305,98.77,,9.2,14.3,15.3,2.5637119999999998,100.0,l3,ZCU104-Bismo_INT4_100%_MLP,0.3551123456109396,INT4_ZCU104-Bismo,ZCU104-Bismo_INT4_MLP_100.0
MLP,ZCU104-Bismo,INT2,,2,,2.1472937,,931.4049587,,18.655109917802307,98.75,,9.2,14.3,15.175,0.040057999999999996,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.004933313345463902,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
MLP,ZCU104-Bismo,INT2,,4,,3.3656449,,1188.47951,,23.80405610579,98.75,,9.2,14.3,15.425,0.08011599999999999,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.0077324219324364065,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
MLP,ZCU104-Bismo,INT2,,8,,5.7826969,,1383.437545,,27.708870588805,98.75,,9.2,14.3,15.55,0.16023199999999999,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.013285493171960006,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
MLP,ZCU104-Bismo,INT2,,16,,10.675147,,1498.8084,,30.0196334436,98.75,,9.2,14.3,15.35,0.32046399999999997,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.024525683263490663,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
